,created_at,id,reply_to_id,coordinates,place,retweet_count,favorite_count,lang,source,is_quote_status,user_id,user_loc,verified,followers_count,friends_count,favourites_count,statuses_count,listed_count,user_created_at,screen_name,user_description,text,tweet category,2017 Pew Research Typology
4979,5/4/2021 9:28,1390000000000000000,,,,1,3,en,Buffer,False,156568938,"Madrid, Spain",False,5278,5136,63172,52952,86,6/17/2010 8:21,andresvilarino,"Do something today that your future self will thank you for.
#MIBer de @ISDI_edu

Instagram: @andresvilarino

https://t.co/ha7QHPHsZi","The role of #IoT in recovering #infrastructureEconomy 

#InternetOfThings #Devices #Sensors #tech #infrastructure #management
@iotwatch @Stefferber @aliciaasin @UserExperienceU @IotWorldwide @Bill_Rollender @avrohomg 

https://t.co/Lrr00YkV0N https://t.co/tChBjoYZ4c",,0
11132,5/1/2021 17:46,1390000000000000000,,,,13,0,en,Twitter for iPhone,False,758000000000000000,,False,1080,1158,119491,77727,2,7/27/2016 19:24,nitisac,Dem Convention #NeverTrump #Vote Blue #TrumpIsTheWorstPresidetEver🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 #resist,"RT @thehill: Ohio Gov. Mike DeWine: ""I think there's a truly bipartisan bill to be had here. I don't think there's any doubt that we've neg…",,-4
9426,5/2/2021 16:26,1390000000000000000,,,,12,0,en,Twitter for Android,False,3542159595,,False,124,1123,1308,4232,1,9/4/2015 7:00,FrankKaijaM,"Love is a Will .....and once you allow the Holy spirit in your heart, it will teach you how to love and grow

👂","RT @thehill: President Biden wants to advance an infrastructure bill in a bipartisan way “if possible,” a top White House adviser said Sund…",,-1
16209,4/30/2021 5:09,1390000000000000000,,,,61,0,en,Twitter for Android,False,2531338800,"Durham, NC",False,2846,4776,36758,29033,33,5/29/2014 2:14,notsoyounggrunt,"Retired with hobbies: bulldogs, Marines, cannons, traveling the world to learn from history and swim in the ocean, talking politics, history and religion.",RT @NBCNews: U.S. Senate overwhelmingly passes $35B bill to bolster states' water infrastructure in bipartisan 89-2 vote. https://t.co/PX4x…,,-4
7842,5/3/2021 6:45,1390000000000000000,,,,34,0,en,Twitter for iPhone,False,937556448,"California, USA",False,2221,2662,98497,186928,4,11/9/2012 19:08,sukimoto1000,Very conservative. Law and order. Respect the Constitution.,RT @senrobportman: Instead of jamming through a partisan $2.7 trillion bill financed by massive tax hikes that will hurt our economy &amp; work…,,4
16367,4/30/2021 3:57,1390000000000000000,,,,25,0,en,Twitter for iPad,False,17620304,"Raleigh, NC",False,682,2635,15976,30019,26,11/25/2008 14:31,Band_Dad,"PID + Lupus + ID research scientist. NCSU Wolfpack sports fan, STEAM school + teacher advocate. Foodie. Advocate for people with preexisting conditions. ❤️🇺🇸",RT @NBCPolitics: U.S. Senate overwhelmingly passes $35B bill to bolster states' water infrastructure in bipartisan 89-2 vote. https://t.co/…,,0
12165,5/1/2021 3:04,1390000000000000000,,,,748,0,en,Twitter for iPhone,False,2466467551,"Ramona, CA",False,813,955,200955,67288,3,4/27/2014 18:18,ReginaElling,"Writer, Editor, Lifelong Monkee Fan","RT @TheRickyDavila: This morning, @MSNBC’s Stephanie Ruhle destroyed GQP bigoted Gov Jim Justice over the anti-Trans bill banning Trans chi…",,-4
10355,5/2/2021 3:30,1390000000000000000,,,,36,0,en,Twitter Web App,False,609789843,"Left Coast, CA",False,167,538,116928,5832,0,6/16/2012 5:13,lorofnorcal,Just a lurking news junkie,RT @axidentaliberal: @RepGregPence @SBAgov So I take it you’re also gonna oppose the infrastructure bill and try to take credit when it reb…,,-4
11442,5/1/2021 14:54,1390000000000000000,,,,396,0,en,Twitter for iPad,False,1271576827,Mill Valley,False,573,171,173948,56303,14,3/16/2013 6:19,beachpelican,"Loves to hike, garden and hear live music","RT @MSNBC: .@SRuhle: ""According to US News &amp; World Report, West Virginia ranks 45th in education, 47th in health care, 48th on the economy,…",,-2
8548,5/2/2021 22:57,1390000000000000000,,,,29,0,en,Twitter for iPhone,False,386696801,"West Virginia, USA",False,6576,6575,359782,165440,48,10/7/2011 18:45,CindyFitch1,"Registered Dietitian, PhD in nutrition; enjoys growing, preparing, and eating good food. Leads a team of WVU Extension professionals. Tweets are my own.",RT @SenGaryPeters: No matter where you live in Michigan you deserve access to safe and clean drinking water. I was proud to help pass criti…,,-4
5415,5/4/2021 2:30,1390000000000000000,,,,60,298,en,TweetDeck,False,3530404094,"Texas, USA",False,595684,1633,15578,26623,1083,9/11/2015 20:34,DavidJHarrisJr,Husband. Father. Lover of God & Country. Speaker. Best Selling Author of - Why I Couldn’t Stay Silent - Get it signed from my store!,If only 1 Democrat votes no this thing is dead. https://t.co/khP6I3CuJa,,3
374,5/6/2021 16:30,1390000000000000000,,,,0,0,en,Hootsuite Inc.,False,1180377014,"Venice, California",False,206,343,47,2777,11,2/14/2013 21:34,_ACCES_,"Seeking to protect low-income Californians through collaboration and innovation.

Like us on Facebook @ Association of California Community & Energy Services","SB 99 enables local governments to collaborate with utilities in planning community-scale energy infrastructure such as solar panels &amp; battery storage so that communities are deciding what facilities remain energized during a crisis.
https://t.co/xbmZRWgqIT",,-4
13024,4/30/2021 21:07,1390000000000000000,,,,0,0,en,Twitter Web App,False,2438685120,,False,892,881,55,140573,456,4/11/2014 15:30,pbrown4348,"Paul Brown: human rights, overpopulation, mass extinction, global warming, corporate rule. Subscribe to esamizdat free email newslinks at pbrown4348@gmail.com.","#Senate Passes $35 Billion Water Bill, but Bigger #Infrastructure Fights Loom. https://t.co/HfDCKFwLlE",,0
15015,4/30/2021 14:59,1390000000000000000,,,,748,0,en,Twitter for Android,False,738000000000000000,,False,376,1310,50035,54243,1,5/31/2016 17:05,meshelle_phifer,,"RT @TheRickyDavila: This morning, @MSNBC’s Stephanie Ruhle destroyed GQP bigoted Gov Jim Justice over the anti-Trans bill banning Trans chi…",,-4
1922,5/5/2021 18:36,1390000000000000000,,,,73,0,en,Twitter for Android,False,100680012,No te importa saber,False,1340,778,11942,110088,8,12/31/2009 4:31,Cfdz66,Anti-Mud/An No apoyo protagonismo oportunismo Populismo de ningun recien llegado q busca un cupo con el Tirano. #SalvaTuVoto #MudNoMeRepresenta 🇻🇪,"RT @EpochTimes: #Texas is moving ahead with legislation aimed at keeping hostile countries out of the state’s critical #Infrastructure.

Th…",,3
16017,4/30/2021 7:56,1390000000000000000,,,,37,0,en,Twitter for iPad,False,54281337,"Texas, USA",False,8,182,7634,3818,1,7/6/2009 18:03,MzPellegrini,"Love of family and America, deplorable, Trump is my President",RT @thehill: Senate passes bipartisan $35 billion water infrastructure bill https://t.co/Cy2Be1ECXr https://t.co/YEdAd89eT5,,-4
8878,5/2/2021 19:49,1390000000000000000,1390000000000000000,,,0,0,en,Twitter for iPhone,False,66051079,"north metro Atl, GA",False,1772,1714,2236,44488,39,8/16/2009 4:24,perpetualvjlinz,"Happy warrior. A tad snarky, but never too tired to support a conservative cause. find me on gab @perpetualvjlinz",@cunat_n @dolezal4senate Because the bill is not about infrastructure,,3
633,5/6/2021 14:25,1390000000000000000,,,"Place(_api=<tweepy.api.API object at 0x000002771CE9AA58>, id='4a9aecc7ad6b85e6', url='https://api.twitter.com/1.1/geo/id/4a9aecc7ad6b85e6.json', place_type='city', name='West Des Moines', full_name='West Des Moines, IA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002771CE9AA58>, type='Polygon', coordinates=[[[-93.8461837, 41.5280075], [-93.7033258, 41.5280075], [-93.7033258, 41.600507], [-93.8461837, 41.600507]]]), attributes={})",0,1,en,Twitter for Android,False,5474002,"Des Moines, IA",False,1348,1805,11225,4754,30,4/24/2007 18:55,FrankBeard,"Director, Safe Shop | Director of Special Projects, @CStoreDecisions | Once spent a month eating at gas stations and lived to tell the tale.","The bill, Ocasio-Cortez said, would ""create the infrastructure"" for electric vehicle charging to be treated as a public service.

https://t.co/qBlWmPkjs6",,-4
5687,5/4/2021 0:46,1390000000000000000,1390000000000000000,,,0,2,en,Twitter Web App,False,19926586,"Los Angeles, CA",False,2180,2301,9703,9596,6,2/2/2009 19:55,mojoman04,"Attorney at law; Poli-Sci degree; Guitar plucker; News junkie; #FBR #Resist #BlueWave. 🌊🌊🌊 ""A President's success is not determined by television ratings.""","@GOP @PARISDENNARD 72% approve of Biden's COVID Relief Bill; 58% approve the infrastructure bill. 
I guess the point is that most of us approve his ""left-wing special interests"", and, ""allowing union bosses to influence his school reopening plan.""",,-4
4641,5/4/2021 13:12,1390000000000000000,,,,21,0,en,Twitter for Android,False,472511525,Alternate Universe,False,1955,2571,43475,52351,2,1/24/2012 1:11,onestarinsight,"#truthtopower #healmotherearth
FurKidShelter sensitive empath 
 #deadfiles 
#MakeRacismWrongAgain
#LoveRules  💞 #resist 👊
@andyanderson30 🤗 connected
✌️💞 💫",RT @girlsreallyrule: Great pros and cons list from @PunchbowlNews on whether Democrats should work with Republicans to get a deal on Infras…,,-4
7180,5/3/2021 15:02,1390000000000000000,1390000000000000000,,,0,0,en,Twitter Web App,False,81626497,,False,23,58,872,2030,0,10/11/2009 16:08,zssdaxsd,cool,"@briebriejoy @ProudSocialist it's not ""free"" anywhere in the world nor will it ever be because doctors/healthcare workers need to be paid and medical equipment/infrastructure needs to be paid for. society will have to foot the bill one way or another, the only thing that matters is providing universal care",,-2
8112,5/3/2021 1:56,1390000000000000000,,,,0,0,en,Twitter for iPhone,False,87447137,United States,False,439,993,18944,5232,8,11/4/2009 14:12,sajumu,Bridge over the Atlantic. Still learning. Coffee & workouts. Support your local paper! Opinions are my own😷,@WTOP wording matters. Calling the infrastructure bill a “spending package” gives a negative connotation. Change your language please!,,-4
4266,5/4/2021 15:48,1390000000000000000,,,,93,0,en,Twitter for Android,False,1449236149,QUIET HOUR,False,48,219,455,5511,2,5/22/2013 15:21,ThomPettway,You can decide where you want to go and what you want to become. Open yourself to the HOLY SPIRIT that lives within you and watch how you will deliberately be,"RT @NydiaVelazquez: Proud to join @SenSchumer, my colleagues &amp; housing leaders to call on President Biden to dedicate more funding for publ…",,-1
15110,4/30/2021 14:50,1390000000000000000,,,,20,0,en,Twitter for iPhone,False,3008363660,"Portsmouth, NH",False,181,490,2760,703,7,2/2/2015 19:57,brittneyt603,"Freelance B2B Technology Content Writer | SaaS, MarTech, Future of Work | Work for $, but would consider trade for chocolate or puppies.","RT @thekimkavin: With all the talk from @POTUS about jamming the anti-independent contractor #PROAct into the infrastructure bill, now migh…",,-3
5556,5/4/2021 1:32,1390000000000000000,,,,98,0,en,Twitter for iPad,False,14956411,,False,1261,1972,306473,77389,0,5/30/2008 17:33,jjmukit,"Dad was a rock-ribbed Repub, mom was a Roosevelt Dem. interesting dinner convos. Military on both sides of the family, including me. liberal. #RealPatriot","RT @Janet4OH: Mitch Mcconnell has announced that NO REPUBLICANS WILL VOTE FOR THE INFRASTRUCTURE BILL because, well, I guess they think our…",,-4
13114,4/30/2021 20:40,1390000000000000000,,,,117,0,en,Twitter for Android,False,3206763843,,False,228,659,51046,77343,16,4/25/2015 17:12,hjohns15,Retired print reporter. Mostly conservative. Absolutely Christian.,RT @RepFredKeller: President Biden's so-called ‘infrastructure plan’ is not infrastructure. Two months removed from the last multi-trillion…,,4
827,5/6/2021 12:52,1390000000000000000,,,,11,0,en,Twitter Web App,True,3178238736,,False,424,1070,33309,33406,6,4/28/2015 14:32,meesh_Bergs,"You probably don't know who I am.  Sometimes, even I'm not sure....","RT @lsf58: #mbpoli #ALECgate
Where did Mr. Pallister get Bill 57 - The Protection of Critical Infrastructure Act - from? This is where: Rep…",,4
5068,5/4/2021 6:57,1390000000000000000,,,,188,0,en,Twitter for Android,False,17072387,"California, USA",False,8149,8935,216918,267372,64,10/30/2008 19:28,gailborges,"#TheResistance #FBR
 PLEASE NO LISTS OR DM'S",RT @AmericaFightHim: Mitch McConnell and the Republicans didn't vote for the relief package Joe Biden presented to help their constituents.…,,-4
14459,4/30/2021 15:48,1390000000000000000,,,,0,2,en,TweetDeck,False,107534936,"North Carolina, USA",False,5445,770,0,5891,128,1/22/2010 22:12,EnvironmentNC,"Environment North Carolina, a project of Environment America, is a policy and action group with one mission: to build a greener, healthier world.","Thank you @SenatorBurr approving bipartisan bill to #protectcleanwater 

https://t.co/PPLkXLo5L3",,-4
12944,4/30/2021 21:30,1390000000000000000,,,,145,0,en,Twitter for Android,False,41831995,Florida,False,10205,10425,702842,837086,969,5/22/2009 15:21,PoliticalBee,"4thGen Florida native, political creature, environmentalist, prolific reader, feminist since 12, that's my dirty Catahoula hound","RT @MSNBC: .@SRuhle: ""According to US News &amp; World Report, West Virginia ranks 45th in education, 47th in health care, 48th on the economy,…",,-2
10623,5/1/2021 23:08,1390000000000000000,,,,2,5,en,Twitter Web App,False,58591729,"Eugene, OR",False,636,544,15354,9280,7,7/20/2009 21:10,wampumpeag,"Indigenous Mainer exiled to Oregon. Mid-life JD, Cornell. Gov’t hack, disability advocate, recovering ethnohistorian/archaeologist. Unrepentant cynic.","If I were Biden, I would say to Sen. Manchin, ""we'll do the 'traditional' infrastructure bill first, but you have to get 10 GOP Senators to vote for it. But then we do the support for seniors and I/DD individuals and childcare via reconciliation—and you're 100% on-board.""",,-2
7967,5/3/2021 3:27,1390000000000000000,,,,16,0,en,Twitter for Android,False,50908321,"Cargo Hold, Millenium Falcon",False,487,912,22938,107267,13,6/26/2009 3:43,peeptoemama,overworked underpaid middle aged Mom trying to prevent the destruction of this country one tweet at a time. And animal lover and Rabid Star Wars fan.,"RT @SuMoh7: #TX06 
Texas Democrats concede lockout in House special election

""[] Bean spent some of her resources on negative ads, falsely…",,-4
1946,5/5/2021 18:24,1390000000000000000,,,,73,0,en,Twitter for iPhone,False,14424204,"Las Vegas, NV",False,1219,1517,63412,22812,49,4/17/2008 18:43,dcthornton,Christ-follower. Conservative. Constitutionalist. Technologist. Pop culture/comics/SF-F geek. #AllLivesMatter #FreeSpeechMatters #IllegetimiNonCarborundum,"RT @EpochTimes: #Texas is moving ahead with legislation aimed at keeping hostile countries out of the state’s critical #Infrastructure.

Th…",,3
4743,5/4/2021 12:18,1390000000000000000,,,,13,0,en,Twitter for iPhone,False,14135350,New York,True,188460,4000,33526,17265,2016,3/12/2008 21:25,biannagolodryga,"@CNN Senior Global Affairs analyst, journalist, wife, mother, proud immigrant, ❤️ Houston, TX 🤘","RT @porszag: Yes, an infrastructure and climate bill should spend on bridges (may seem unnecessary to say this, but if you haven't noticed,…",,-4
6851,5/3/2021 16:37,1390000000000000000,,,,2,4,en,Twitter Web App,False,2905469032,"Washington, DC",False,1313,234,1270,3524,32,12/4/2014 19:01,kevin_degood,Director of Infrastructure Policy at the Center for American Progress. Toledo native. Diversity is our strength. I was assigned by Division.,"1/ It's always interesting to see how transportation is covered outside my usual feed. Came across several stories about deficient bridges in states that produce soybeans. Weight limits &amp; detours are indeed a real problem. 

Will an infrastructure bill fix this? https://t.co/ybfwpv5XUg",,0
5369,5/4/2021 2:55,1390000000000000000,,,,0,0,en,Twitter Web App,False,106331667,"Boston, MA",False,2847,2652,30150,163314,18,1/19/2010 6:15,griffbos,"I retweet various tweets because I feel they are worth seeing/reading/hearing Proudly raised in New Hampshire,  registered as undeclared voter 🇺🇸  🇮🇪","A fourth stimulus check is coming soon, but there’s a very big catch https://t.co/RPLdzU7pSQ @HouseDemocrats please no more stimulus checks, get a infrastructure bill passed, increase the min wage instead, but enough of one time checks.",,-2
12698,4/30/2021 23:39,1390000000000000000,,,,203,0,en,Twitter for Android,False,2677371627,Muskoka Canada,False,1186,1325,347814,164425,2,7/6/2014 0:56,suzannekeith71,"🇨🇦Interested world citizen. Proud Babcia. Admire Joe Biden who will lead by -power of example 
instead of -example of power
 Loves the ocean at Topsail NC.",RT @NBCNews: U.S. Senate overwhelmingly passes $35B bill to bolster states' water infrastructure in bipartisan 89-2 vote. https://t.co/M52S…,,-4
14148,4/30/2021 16:28,1390000000000000000,,,,8,0,en,Twitter for iPhone,False,3372211883,,False,224,1059,65028,79765,4,7/12/2015 12:26,Kallen130vt,,"RT @KeepItBlueDems: @LeaderMcConnell @SRCC Republicans are against:
- The COVID Relief Bill
- $15 minimum wage
- Billionaires paying taxes…",,-4
4653,5/4/2021 13:05,1390000000000000000,1390000000000000000,,,0,2,en,Twitter for iPhone,False,2964572165,,False,63,408,226,341,0,1/6/2015 17:20,TVCJack,,@diekremserin @JusticeforGary1 @BMcCarthy1 @killianwoods @var_dee @obraonain @davidmcw It will be interesting to read the housing bill being presented today.  Gov should really use this recovery fund to bring housing and infrastructure up to speed 🤞,,-3
5471,5/4/2021 1:58,1390000000000000000,,,,7,0,en,TweetDeck,False,30271065,"Irondale, Alabama",True,46779,462,1046,7616,305,4/10/2009 17:55,EWTNews,@EWTNNewsNightly @EWTNProLife @NCRegister @WorldOverDC @CNAlive @CNAdeutsch @EWTNVatican @ACIPrensa @ACIStampa @ACIDigital @ACIAfricanews @Church_POP,"RT @EWTNNewsNightly: President Joe Biden is vowing to work with Republicans on his infrastructure bill, but Democrats also signaled that th…",,-4
6366,5/3/2021 19:36,1390000000000000000,1390000000000000000,,,0,0,en,Twitter Web App,False,770355780,,False,205,255,25230,15586,1,8/20/2012 22:41,pook_tweets,"certainty is a synonym for stupidity, of that I am sure https://t.co/TTqmXOjFkD","@AutoMeris @wtyppod Here I did two seconds of googling -

""The program offers federal cost-sharing of 90 percent. ""

Rep. Colin Allred lauded the grant program funding. “Private entities like Texas Central ... would also be eligible for financing""

https://t.co/2PuQrLd7v7",,-4
7754,5/3/2021 10:26,1390000000000000000,,,,0,0,en,Crowdfire App,False,93654731,🇩🇴,False,188594,181763,24926,81169,287,11/30/2009 15:46,CristianHidaIgo,Realtor | Ingeniero Civil | Piloto Privado | Escritor | Director periódico Notificado | CEO Inmobiliaria Ciudad Ideal | CEO Incideal Travels | Sanjuanero.,22 Democratic lawmakers want Biden to include a pathway to citizenship in his infrastructure plan https://t.co/4qLGW66ZaD,,-2
10192,5/2/2021 11:56,1390000000000000000,,,,0,2,en,Twitter Web App,False,1316266022,"venice,fl",False,74,51,491,8072,1,3/30/2013 11:28,venice_bc,It's just me being me.,"@cspanwj OK, this Ohio guy is so retro. He thinks our infrastructure of the 1950's is the same one we have today, an ill informed supposition. The Biden bill includes economic recovery that the GOP fight against, how is that a bad thing?",,-4
2248,5/5/2021 15:03,1390000000000000000,,,,1,4,en,Buffer,False,29586241,"Washington, DC",False,3338,1840,1484,7786,127,4/8/2009 0:11,socialinsurance,The Academy is a nonpartisan organization committed to increasing public understanding of how social insurance contributes to economic security. Founded in '86.,Member @aijenpoo explains why the expansion of #Medicaid coverage to include #HCBS for people with disabilities and older adults and to improve wages and working conditions for direct care workers belongs in Biden’s infrastructure bill https://t.co/evuLsWL4Va #UniversalFamilyCare https://t.co/7IL6dcrqfw,,-2
5433,5/4/2021 2:23,1390000000000000000,,,,23,0,en,Twitter Web App,False,385689121,United States,False,10401,7771,258947,237214,50,10/5/2011 23:14,chargrille,"M.A. Hist. YLS '04. #IndictTrump. Founder, Portland Families Belong Together rally. Website co-founder, https://t.co/aTaVtsKIiZ. #ClimateAction mom.

she/her/sir",RT @aj_mirabelle: Maybe I'm missing something but if #McConnell is already saying no Repub will vote for the #infrastructure bill *no matte…,,-4
180,5/6/2021 17:54,1390000000000000000,,,,4,0,en,Twitter for iPhone,False,924204482,,False,342,2453,74222,80355,1,11/3/2012 23:02,AdeleBatchelder,to be figured out sometime,"RT @PascrellforNJ: In 2017, trump and congressional Republicans rammed a $1.9 trillion tax bill through Congress. Over 80% of the benefits…",,-2
4707,5/4/2021 12:38,1390000000000000000,,,,21,0,en,Twitter for iPhone,False,324363969,"New Jersey, USA",False,449,2469,306051,60915,3,6/26/2011 13:44,modcon02,"well well well. we meet again, bird app. • he/him • DnD n DepecheMode",RT @girlsreallyrule: Great pros and cons list from @PunchbowlNews on whether Democrats should work with Republicans to get a deal on Infras…,,-2
1057,5/6/2021 6:26,1390000000000000000,,,,8,0,en,Twitter Web App,False,202915398,,False,793,1164,32692,207957,335,10/15/2010 3:01,catsformede,,"RT @RickSmithShow: Max Richtman:  The President talked during the campaign about doing more for seniors, &amp; he's keeping his word. Part Two…",,-4
15775,4/30/2021 11:15,1390000000000000000,,,,2123,0,en,Twitter for Android,False,356076313,"Fremont, CA",False,468,1256,7395,17266,5,8/16/2011 9:22,walker31210,"5 years USAF, 1 1/2 years Afghanistan private contractor.","RT @mmpadellan: Republicans are against:
- The COVID Relief Bill
- $15 minimum wage
- Billionaires paying taxes
- Infrastructure
- Voting r…",,-4
10287,5/2/2021 6:25,1390000000000000000,,,,2,0,en,Twitter for Android,False,307311418,London,False,156,143,18873,9379,1,5/29/2011 12:05,Nikita_ox,"Lawyer🇬🇧 
City Law School",RT @neutraline: @INCIndia @RahulGandhi How insane congress is ? 70 years mein no health infrastructure but in 6 years they want everything.…,,1
1889,5/5/2021 19:00,1390000000000000000,,,,10,0,en,Twitter for iPhone,False,16650973,"Agua Dulce, California",False,139,135,608,9414,21,10/8/2008 16:16,bobturek,"God first, husband second. Grandpa, father, leader, surfer, praise team singer and biz developer. Lover of freedom and Agua Dulce sunsets from my mountain bike.",RT @KayColesJames: Most of the Biden admin’s huge “infrastructure” plan doesn’t go to infrastructure but to a leftist wish list like enviro…,,3
