,created_at,id,reply_to_id,coordinates,place,retweet_count,favorite_count,lang,source,is_quote_status,user_id,user_loc,verified,followers_count,friends_count,favourites_count,statuses_count,listed_count,user_created_at,screen_name,user_description,text,tweet category
12134,5/1/2021 3:33,1390000000000000000,,,,23,0,en,Twitter for iPhone,False,6568302,"Wollongong, New South Wales",False,453,1221,20127,42073,37,6/4/2007 12:03,Bronzethumb,"Husband and father. Trying to write more, be a garbage person less. NG Paladin. I'm a regular carbon-based employee made entirely of organic matter. Him/his.",rt if bill gates cared about lives in india rather than preserving ip he would use his vaunted foundation to fund the infr,
14086,4/30/2021 16:37,1390000000000000000,,,,176,0,en,Twitter for iPhone,False,1592250408,"West Virginia, USA",False,99,456,2667,904,0,7/14/2013 1:50,JessicaBaker71,,rt according to us news world report west virginia ranks th in education th in health care th on the economy,
8708,5/2/2021 21:13,1390000000000000000,,,,43,0,en,Twitter for Android,False,340026058,New Mexico,False,187,121,76482,44649,7,7/22/2011 1:16,whitingviki,"New beginnings are exciting! It is refreshing to turn the page on the last 4 years in our democracy.  Be well, and have an incredible 2021!",rt a lot of lies and distortions are told about biden s infrastructure and job plan and for the slightly obsessive among us th,
2975,5/5/2021 1:52,1390000000000000000,,,,57,0,en,Twitter Web App,False,288513617,,False,4508,4993,78866,181758,5,4/27/2011 0:17,SHWALD,"And though she be but little, she is fierce (or just short and hangry) RTs NOT endorsements",rt mitch mcconnell has announced that not one republican will vote for the infrastructure bill that will create millions of jobs,
11480,5/1/2021 14:23,1390000000000000000,,,,17,0,en,Twitter for iPhone,False,1170000000000000000,,False,801,1114,90967,70727,0,9/4/2019 16:42,lch1540,"too simple, sometimes naive!🍂🌾🍁",rt china watch the texas senate unanimously approved senate bill aka lone star infrastructure protection act which prohibits,
14475,4/30/2021 15:46,1390000000000000000,,,,13,0,en,Twitter for Android,False,833000000000000000,,False,649,603,102053,31512,15,2/17/2017 21:11,AvgZing,"║ Zing
║ they/he
║ Non-Binary Pan-Ace
║ POC
║ Content Creator
║ Engaged to @butterflysview ║",rt stephanie ruhle according to us news world report west virginia ranks th in education th in health care th on the,
4000,5/4/2021 17:26,1390000000000000000,,,,96,0,en,Twitter Web App,False,2611844370,,False,384,1179,11232,13510,0,7/8/2014 15:32,fizzed8,Nothing. I see myself as an American who hates liars especially in the Government. Speak out and speak up. Hey twitter where are your rules?,rt after years of drought investing in our water infrastructure couldn t be more important for arizona especially in rura,
5584,5/4/2021 1:27,1390000000000000000,1390000000000000000,,,0,1,en,Twitter for iPad,False,2151865152,,False,120,138,34360,36337,0,10/23/2013 23:41,slmalamud,,hanke house gop leader now takes credit for the covid relief bill every gop member voted against the same will happen with infrastructure corporations and the wealthy will pay a fairer share of taxes gop still pushing goebbels style big lie voter suppression worshipping a loser,
2838,5/5/2021 3:01,1390000000000000000,,,,57,0,en,Twitter for iPad,False,711426643,,False,1291,512,202263,32260,4,7/22/2012 23:16,carolswilliams_,Because there is just so much to smile about! :) 🌊🌊🌊 No DM’s please. I block trolls & basic idiots!,rt mitch mcconnell has announced that not one republican will vote for the infrastructure bill that will create millions of jobs,
7041,5/3/2021 15:35,1390000000000000000,1390000000000000000,,,0,1,en,Twitter Web App,False,17075717,"Houston, TX.",False,442,357,190456,24634,25,10/30/2008 22:08,chuck_late,Follower of Jesus. Media guy. Life-long lover of interesting things. All-the-time Awesome.,you think joe s infrastructure bill is expensive now wait til you see how much it will cost to build high speed rail lines over the continental divide,
3244,5/4/2021 23:57,1390000000000000000,1390000000000000000,,,0,0,en,TweetDeck,True,575749648,"Shale City, Gasfield County ",False,364,271,260,16005,34,5/9/2012 23:06,PiceanceDog,Keeping track of what the frack is happening in my backyard.,no infrastructure bill no performance pay at hr for hours a week days t th at hrs on clock dialing for dollars and noshing on lobbyists tab don t count we don t pay for your mealtime skippy and keep it to mins for lunch that s for the week,
9134,5/2/2021 18:07,1390000000000000000,,,,39,0,en,Twitter Web App,False,2970466277,CA,False,3413,4583,141235,173371,7,1/9/2015 21:47,sampietro75,"Writer, publisher, rule of law, political wonk, copyright specialist and perpetually interested in government. Former gov. analyst. Worked in music industry.",rt how do republicans reach the conclusion that an infrastructure bill paid for by taxing the rich is too expensive while,
13715,4/30/2021 17:39,1390000000000000000,1390000000000000000,,,0,4,en,Twitter for iPhone,False,52220507,,False,143,349,5237,13012,2,6/29/2009 22:57,jweisel,"Counsel, California Appellate Law Group LLP. Opinions are my own and do not reflect those of CALG.",i believe the infrastructure bill has billion for semiconductor development,
3789,5/4/2021 19:05,1390000000000000000,,,,0,2,en,Twitter for iPhone,False,231679195,"Madison, WI",False,2034,3822,9396,19934,111,12/29/2010 5:04,victorjacobo_,Bilingual Reporter for @CBS58 & @TelemundoWI | @MarquetteU Alum | Chicagoan | Runner | vjacobo@cbs58.com,happening now reacts to vp visit to milwaukee criticisms from the gop includes her not being at the u s mexico border as well as the reach of the infrastructure bill biden and harris are pushing,
15690,4/30/2021 11:49,1390000000000000000,,,,52,0,en,Twitter for iPhone,False,1901928318,"Austin, TX",False,5441,5433,74391,340500,2,9/24/2013 22:18,Squirrel_MA,"The coup failed.  Please no DM, sales, lists or hate",rt tells that president joe biden is right on message tying jobs to climate change the kind of clim,
10868,5/1/2021 20:25,1390000000000000000,,,,6,0,en,Echofon,False,16917649,"A Leo (oh, maybe not) in SoCal",False,505,2020,16017,7235,10,10/23/2008 2:01,madfeline,"Vote in EVERY election. Research  EVERY proposition and candidate, including endorsements. Love thy neighbor, but always count the cards.",rt that damn has ended the war in afghanistan shut down the border wall project passed the biggest child welfare bill t,
14485,4/30/2021 15:45,1390000000000000000,,,,52,0,en,Twitter for iPhone,False,57233713,,False,137,176,167328,130718,0,7/16/2009 3:45,karenkathi,,rt tells that president joe biden is right on message tying jobs to climate change the kind of clim,
5866,5/3/2021 23:35,1390000000000000000,,,,202,0,en,Twitter for iPhone,False,1050987930,,False,68,356,7595,3232,2,12/31/2012 19:16,ClaraEveGrichti,Proud mom of 2 Georgia Tech Alumni 👩‍🎓 👩‍🎓,rt biden has already signed a nearly trillion so called covid relief bill now he s pushing a trillion infrastructu,
8169,5/3/2021 1:25,1390000000000000000,,,,0,0,en,Twitter for iPhone,False,1050871214,,False,103,167,8767,16567,21,12/31/2012 18:06,JohnBrzezinski1,,is blowing a big moment for medicare follow,
4057,5/4/2021 17:05,1390000000000000000,1390000000000000000,,,0,0,en,Twitter Web App,False,190949257,"Tampere, Finland, EU",False,424,506,52024,5963,1,9/15/2010 7:03,JuhoMantysalo,"Työelämäsosiologi/YTM ja liiketalouden tradenomi, muodollisesti pätevä opettaja, populaarikulttuurin diletantti. Minulla on pyörä. 🚹🖖🏻",bww according to bill gates if society has philantropy instead of welfare then money is funded to pet projects and vital infrastructure that doesn t have pr value will be left untended he also adds that philantrophists donate much less than they would pay in taxes otherwise,
8758,5/2/2021 20:50,1390000000000000000,,,,54,0,en,Twitter for iPad,False,210275927,"Overland Park, KS",False,363,239,55345,329600,60,10/31/2010 1:20,PDQACCESSORIES,"PDQ Accessories LLC is a Wholesale To the Retail Trade Showroom located in the Gift Mart of Kansas City at 9553 Metcalf Avenue, Overland Park, KS 66212",rt gop congress had a chance to take care of this under president trump they never got trump a bill biden republicans s,
15718,4/30/2021 11:37,1390000000000000000,,,,203,0,en,Twitter Web App,False,1850218063,,False,33,285,20637,28038,1,9/10/2013 3:13,barbhoehn08,,rt u s senate overwhelmingly passes b bill to bolster states water infrastructure in bipartisan vote,
1920,5/5/2021 18:37,1390000000000000000,,,,3,0,en,Twitter Web App,False,48829013,Washington DC,False,3695,2165,3618,9832,132,6/19/2009 21:07,DOLDC,"Creating economic opportunities within marginalized communities, through building a healthy, equitable food system. #socialenterprise",rt dc central kitchen is proud to be one of organizations in dc to call on and the to include schoolmeals,
6054,5/3/2021 21:45,1390000000000000000,1390000000000000000,,"Place(_api=<tweepy.api.API object at 0x000002771CE9AA58>, id='a592bd6ceb1319f7', url='https://api.twitter.com/1.1/geo/id/a592bd6ceb1319f7.json', place_type='city', name='San Diego', full_name='San Diego, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002771CE9AA58>, type='Polygon', coordinates=[[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]]), attributes={})",0,0,en,Twitter for Android,False,84493735,San Diego,False,1751,4688,97528,30709,12,10/23/2009 3:14,engmac18,"Vivo en la frontera  🇺🇸🇲🇽🌹🚩💚 he/him - 
 Chicano Socialista - Ingeniero Mecánico - Abolish ICE, thanks.",that s not what charity is lmao bill gates builds infrastructure for charity too yet he holds crappy opinions,
10846,5/1/2021 20:37,1390000000000000000,,,,6,0,en,Twitter for iPhone,False,118496007,In the know,False,1851,705,167931,113783,96,2/28/2010 21:36,BackEndBarbie_,Still the realest nigga in this...YALL KNOW IT. ❄️,rt u s commerce secretary gina raimondo says president biden is willing to to negotiate on the suggested corporate tax r,
3813,5/4/2021 18:50,1390000000000000000,,,,3,0,en,Twitter for iPhone,False,238652813,Boston,False,5259,5177,65420,23045,44,1/15/2011 18:02,pawlbologna,"Was digital director for @MassAGO, then biked across the US and helped re-elect @EdMarkey. Fighting for a #GreenNewDeal. Socialist here to win. he/him",rt talking infrastructure boom in hull yesterday we re primed in massachusetts to play a big role,
11461,5/1/2021 14:36,1390000000000000000,1390000000000000000,,,0,0,en,Twitter Web App,False,15021460,,False,143,286,1380,8827,1,6/5/2008 18:19,starkmojo,,i think the only solution is to win more seats in and make him irrelevant if we can get the infrastructure bill passed then a lot of midwestern states may see the benefit of electing a d to fill a currently r seat,
9411,5/2/2021 16:29,1390000000000000000,,,,376,0,en,Twitter for Android,True,167168204,"White Bear Lake, MN",False,172,334,7865,76971,35,7/15/2010 22:48,patricksaxton,"Purveyor of odds and ends and secret ninja assassin. What's that? It's not secret if you put it on twitter? 
What's the opposite of secret?",rt in your state of louisiana the rate of child poverty is of residents in louisiana do not have access to child ca,
3018,5/5/2021 1:40,1390000000000000000,,,,34,0,en,Twitter for Android,False,253830702,Riden with Biden & VP Kamala,False,5547,5557,132225,170736,26,2/18/2011 1:52,Ikelaru,"Believe the world can be a better place, one person at a time beginning with me-Liberal Dem-Equality is 4 ALL-💙humor #Climate#RESIST🌊🦋🏳️‍🌈Advocate",rt fuck mitch mcconnell and the republicans steam roll every single one of those obstructionists on the infrastructure bill,
12932,4/30/2021 21:35,1390000000000000000,,,,1,0,en,fliptopbox,False,54032949,London,False,704,341,54700,58025,15,7/5/2009 22:56,fliptopbox13,"I am a liar. I lie to everyone. Lying fills me with a profound joy. 
#Storyteller. #Writer. #Daydreamer. #Beggar-man. #Thief.",rt cass i really don t know how daycare is not infrastructure i understand that people who don t have children,
16052,4/30/2021 7:14,1390000000000000000,,,,29,0,en,Twitter for iPhone,True,2827266097,The Capital Wasteland,False,1846,833,305924,185435,23,9/23/2014 1:48,RadicalGoats,"Can’t be back on my BS if I never got off in the first place. Best described as a nonsectarian leftist policy wonk, whatever that means. She/her.",rt nixon ocasio cortez wants a trillion infrastructure bill she won t get it and she knows that but her people have a seat at,
958,5/6/2021 10:43,1390000000000000000,,,,7,0,en,Twitter Web App,False,2854796390,,False,48,301,50749,1901,0,10/13/2014 21:08,drspayne_payne,,rt cns related you may recall the senate just passed a water infrastructure bill to the tune of b it goes to house next whe,
13913,4/30/2021 17:02,1390000000000000000,,,,748,0,en,Twitter for iPhone,False,2241215568,"Phoenix, AZ",False,78,639,14198,3328,0,12/11/2013 18:56,lemarshall28,,rt this morning s stephanie ruhle destroyed gqp bigoted gov jim justice over the anti trans bill banning trans chi,
1690,5/5/2021 21:02,1390000000000000000,,,,0,0,en,Twitter for iPad,False,15594189,Swimming with the turtles,False,143,705,14092,8275,3,7/25/2008 4:29,DoubleE_DoubleT,Wife of a warrior🎗 Turtle mother 🐢🐢🐢🐢 Overall crafter 🧶 #BTS #TXT #SEVENTEEN #MFFL #GoStars Travel lover ✈️ Vitiligo Queen 👑 #DopeOldPeople #91Liner,dear why is there a new internet infrastructure surcharge on my bill this month are y all really about to start adding extra fees and charges to my bill all of the sudden when the internet don t even work right half the time,
16215,4/30/2021 5:04,1390000000000000000,,,,73,0,en,Twitter for iPhone,False,41215748,Official All You Need To Know,False,65452,7170,11405,23134,28,5/19/2009 21:27,allneedradio,"Thurs night at 6pmcst to live/unscripted: We discuss politics/events in the World and no spin just the truth 
Your host John Hollywood &  Amos Waranch Law",rt breaking senate passes bipartisan billion water infrastructure bill,
5974,5/3/2021 22:30,1390000000000000000,1390000000000000000,,,1,0,en,Twitter for Android,False,731035650,,False,188,659,26213,34621,24,8/1/2012 16:51,KarrenWillard,"Software Engineer, mother, grandmother. Eccentric enough so when dementia sets in no one knows the difference.",wasn t that part of the infrastructure bill maybe the american family bill no maybe the screw american bill,
6782,5/3/2021 17:13,1390000000000000000,1390000000000000000,,,0,2,en,Twitter for iPhone,False,4777400780,"California, USA",False,558,1987,6960,8637,10,1/18/2016 7:51,KMontyofCal,"Just a home town girl with mostly conservative values. Love family, animals, God, America, technology and power tools.",does it really surprise you that s also why the proposed infrastructure bill has education included the american public definitely needs an education my fear is they will be getting one that generations to come will be paying for,
474,5/6/2021 15:39,1390000000000000000,,,,7,0,en,Twitter Web App,False,1350638617,Eastern Kentucky,False,269,332,1321,1194,7,4/14/2013 1:01,MtnBMS,,rt bipartisan action from congress is the only way to get meaningful infrastructure projects completed it s time for action,
5160,5/4/2021 5:19,1390000000000000000,1390000000000000000,,,0,1,en,Twitter for iPhone,False,745805322,"The Woodlands, Texas",False,10,125,1035,451,1,8/8/2012 19:35,ToniFarris,Do you still love nature despite what it’s done to you?!,coming soon to city near you if we don t pass the infrastructure bill call your gqp senators,
12987,4/30/2021 21:16,1390000000000000000,,,,117,0,en,Twitter for Android,False,2178111968,"Campbelltown, PA",False,479,383,53639,24652,2,11/6/2013 13:48,rhummer48,"USAF SAC - 1967 to 1971  
1968/1969  Utapio, Thailand. SAC B-52",rt president biden s so called infrastructure plan is not infrastructure two months removed from the last multi trillion,
9921,5/2/2021 14:22,1390000000000000000,,,,496,0,en,Twitter for iPad,False,1688387071,New York,False,1151,801,168435,132825,55,8/21/2013 13:46,forever3825,Life long Springsteen follower. Animal lover. Happily married to the only guy that I adore more than Bruce.,rt repub politicians are such idiots an infrastructure bill would not only create construction jobs it would also mean e,
7165,5/3/2021 15:04,1390000000000000000,,,,28,0,en,Twitter for iPhone,False,1528813453,,False,152,245,53116,48878,0,6/18/2013 20:38,LeonaduranHot,,rt senate minority leader mitch mcconnell hits at biden s infrastructure plan saying the administration wants to undo the,
4414,5/4/2021 14:45,1390000000000000000,,,,40,0,en,Twitter for iPhone,True,328756560,"Manhattan, NY",False,454,1082,57030,9335,8,7/3/2011 23:54,chillseaboi,"She/They▪️Ig: @xta.sea ◾️if u aren’t talking police/PIC abolition, dismantling capitalism, anti imperialism , I don’t wanna talk 📍matriarchal realm of darkness",rt biden has so far broken numerous campaign promises off the top of my head on the refugee cap other immigration polici,
2388,5/5/2021 13:49,1390000000000000000,,,,0,0,en,Twitter for iPad,True,30736171,"ÜT: 39.169407,-94.587634",False,153,1915,9273,5444,1,4/12/2009 22:21,Tgrdd,"Journalism gets paid to tell the truth. Believe in yourself, Avid fan of Mizzou, Chiefs, Royals & all playing KU. Typical Redheaded Leo. #Resistance",missouri can we assume based on this tweet that our senator will be voting yes on the infrastructure bill would he ever buck moscow mitch in his last days showme,
5587,5/4/2021 1:27,1390000000000000000,,,,0,0,en,Twitter for Android,False,950610474,,False,317,1151,38334,14863,2,11/15/2012 23:08,LeighHill22,"Worshipper of justice, hater of hypocrisy.
It's hard to win an argument with an unarmed person.",w virginia ranks th in infrastructure mcconnell vows no republican votes for biden infrastructure bill manchin won t go for filibuster elimination or going thru reconciliation time for ppl going door to door in wv to let ppl know facts infrastructure,
5300,5/4/2021 3:49,1390000000000000000,,,,9,0,en,Twitter Web App,False,145338063,Vaccinated #GetCovidVaccineNow,False,1712,2896,211310,286322,23,5/18/2010 18:35,camcath,"“Being Irish, he had an abiding sense of tragedy, which sustained him through temporary periods of joy.” 
William Butler Yeats",rt well mitch says not one republican vote for infrastructure well then democrats dont need to waste anymore time waiting for,
150,5/6/2021 18:10,1390000000000000000,,,,0,1,en,TweetDeck,False,17159134,"Tallahassee, FL",True,30355,2621,2233,79564,606,11/4/2008 15:55,abc27,"Local news, sports and weather from north Florida and south Georgia.",president joe biden is campaigning for his proposed infrastructure bill in lake charles louisiana,
8235,5/3/2021 0:58,1390000000000000000,,,,3,0,en,Twitter for iPad,False,919914043,,False,989,1433,2172,164014,88,11/1/2012 21:50,melaniariz,God is the only One Who knows who His Chosen people are! Christian Orthodox.,rt s pre planned function for the globalist cabal is to bankrupt the country by collapsing the dollar via stimulus and i,
15250,4/30/2021 14:36,1390000000000000000,,,,0,0,en,Twitter Web App,False,3727869734,,False,508,1187,1680,18030,13,9/29/2015 17:10,39CSustain,"Tracking climate change, urban policy & sustainability @UCIrvine. #39CConversations | #39CSustain | #39CSolutions | #39CJustice |#39CInformationLiteracy",greatnews this gives the epa funding to help communities upgrade aging infrastructure invest in new technologies and support disadvantaged communities u s senate overwhelmingly passes billion water infrastructure bill via,
12492,5/1/2021 0:47,1390000000000000000,,,,1,0,en,Twitter for iPhone,False,11740792,,False,6151,6193,99652,80366,28,1/2/2008 4:31,Just_A_Bill_,"We must all hang together, or assuredly we shall all hang separately. | Ben Franklin                         #TeaParty2",rt you must have missed it we had to pawn alaska to cover biden s infrastructure plan,
12346,5/1/2021 1:35,1390000000000000000,,,,36,0,en,Twitter for Android,False,382475814,"Chicago, IL",False,1496,2117,101350,23346,9,9/30/2011 4:11,terryjohnson03,Never imagined GOP would turn into KGB/GRU #FBR🌊,rt so i take it you re also gonna oppose the infrastructure bill and try to take credit when it reb,
5395,5/4/2021 2:38,1390000000000000000,,,,59,0,en,Twitter for iPhone,False,41859128,,False,18,107,2046,1582,0,5/22/2009 17:30,GC_thatsMe,,rt mcconnell says he s open to an infrastructure bill that both sides agree on but he s not open to any change to the,
8336,5/3/2021 0:17,1390000000000000000,,,,376,0,en,Twitter for iPhone,True,16909343,"Portland, OR",False,7743,8513,930783,407400,18,10/22/2008 17:37,bethlevin,Hold accountable all GOP who backed the Big Lie about 2020 election. It was a FREE AND FAIR election and Biden won by landslide.,rt in your state of louisiana the rate of child poverty is of residents in louisiana do not have access to child ca,
2081,5/5/2021 16:51,1390000000000000000,,,,0,0,en,Twitter Web App,False,503348728,,False,22,26,311,3224,0,2/25/2012 18:08,LeonaLiberal,,hi elona this is olga with the working families party we re supporting the thrive act a bill that would bring good jobs and a billion investment in renewable energy and infrastructure txt stop to quit blacklivesmatter,
10959,5/1/2021 19:42,1390000000000000000,1390000000000000000,,,0,1,en,Twitter Web App,False,778000000000000000,USA,False,5879,6292,45186,35150,5,9/20/2016 5:23,PoloniaForTrump,❤️🇺🇸 @UW,you lie the infrastructure bill is nothing less but corruption even commie obama was laughing at his stimulus bill afterwards,
1237,5/6/2021 2:14,1390000000000000000,,,,184,0,en,Twitter for iPad,False,316788501,Georgia,False,5152,5462,229830,294562,73,6/13/2011 23:49,bluedgal,Mom*Wife*SocialWorker*Feminist*INFJ*Dem*Lib*ForeverWithHer*BLM🚨Politics*Travel*Duke*GA Sports*Try to live by The Golden Rule**SOCIAL WORKERS ARE ESSENTIAL**,rt reminder joe biden wanted to negotiate on the infrastructure bill until mitch mcconnell said there d be no republica,
